,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,year
1034,22.9,31.4,16.2,1016.1,73.0,0.0,1.4,0.9,3.5,135.375,2015
1035,23.4,31.8,17.3,1015.8,75.0,0.0,1.6,0.4,3.5,166.1666717529297,2015
1036,23.9,31.8,18.6,1014.2,73.0,0.0,1.8,0.4,1.9,365.75,2015
1040,21.9,30.2,16.1,1014.8,79.0,0.0,0.5,1.1,7.6,209.76922607421875,2015
1041,21.9,29.0,17.1,1016.0,75.0,0.0,1.1,1.9,5.4,296.875,2015
1042,22.1,29.8,16.1,1015.0,77.0,0.0,1.3,0.7,3.5,353.0416564941406,2015
1046,22.3,29.3,16.1,1014.9,64.0,0.0,0.8,5.4,18.3,130.75,2015
1047,22.4,29.8,16.5,1012.0,65.0,0.0,1.1,3.5,13.0,174.7916717529297,2015
1052,18.5,27.7,11.5,1017.6,68.0,0.0,1.3,0.9,7.6,279.58334350585943,2015
1053,18.6,27.7,11.4,1016.4,69.0,0.0,1.1,0.4,3.5,280.20834350585943,2015
1054,18.8,28.5,11.5,1015.4,69.0,0.0,0.8,1.3,3.5,157.5,2015
1058,19.3,28.0,13.0,1014.7,61.0,0.0,1.9,5.7,18.3,283.9130554199219,2015
1059,20.0,29.1,11.9,1012.6,64.0,0.0,1.4,0.9,7.6,337.125,2015
1060,18.4,29.1,13.5,1011.4,71.0,0.0,1.3,2.6,7.6,212.125,2015
1064,19.3,28.0,13.8,1014.7,81.0,0.0,0.6,1.7,7.6,252.5416717529297,2015
1065,17.9,26.2,13.5,1016.2,75.0,0.0,0.8,2.0,11.1,312.625,2015
1066,17.6,24.6,11.2,1016.1,75.0,0.0,0.8,7.0,18.3,286.375,2015
1070,17.8,26.2,11.0,1017.1,79.0,0.0,0.6,2.0,7.6,269.125,2015
1071,20.2,27.0,12.0,1015.8,68.0,0.0,1.0,1.3,5.4,249.9583282470703,2015
1072,19.2,26.9,11.6,1015.4,78.0,0.0,1.0,4.8,14.8,163.0,2015
1076,14.8,21.0,6.8,1016.4,63.0,0.0,2.4,5.4,13.0,244.1666717529297,2015
1077,14.6,21.3,6.0,1017.1,59.0,0.0,2.6,8.1,14.8,274.047607421875,2015
1078,15.2,22.2,7.0,1016.5,60.0,0.0,2.4,7.0,14.8,245.9166717529297,2015
1082,14.4,21.1,6.8,1019.1,65.0,0.0,1.6,5.6,13.0,431.8333435058594,2015
1083,12.6,21.0,0.0,1018.9,68.0,0.0,1.4,2.6,9.4,215.25,2015
1084,13.7,21.0,5.6,1018.8,71.0,0.0,1.3,1.5,7.6,181.2083282470703,2015
1088,13.3,19.3,5.5,1021.9,62.0,0.0,1.9,7.8,14.8,190.5,2015
1089,14.4,21.5,5.5,1021.0,60.0,0.0,1.8,8.9,18.3,217.72727966308597,2015
1090,16.3,22.5,7.6,1020.6,64.0,0.0,1.4,8.1,14.8,220.0,2015
1095,16.9,25.1,6.6,1021.3,65.0,0.0,1.1,2.0,7.6,284.79583740234375,2016
1096,15.5,24.1,7.7,1021.0,71.0,0.0,1.1,3.5,11.1,239.69546508789062,2016
1097,14.9,22.8,8.0,1018.4,73.0,0.0,1.1,5.9,13.0,182.1875,2016
1101,18.3,24.7,11.5,1018.1,85.0,0.0,0.5,1.1,7.6,223.2083282470703,2016
1102,16.5,24.7,12.0,1017.4,82.0,0.0,0.6,8.0,13.0,200.6458282470703,2016
1103,16.6,22.2,10.2,1015.4,65.0,0.0,1.8,10.0,20.6,154.875,2016
1108,15.6,23.2,10.9,1015.6,82.0,0.0,0.6,4.3,9.4,276.9083251953125,2016
1109,13.0,19.0,9.6,1016.9,85.0,0.0,0.8,10.7,16.5,267.9818115234375,2016
1113,12.3,19.0,8.9,1015.8,91.0,0.0,0.5,4.6,9.4,107.625,2016
1114,11.9,15.7,7.5,1018.9,86.0,0.0,0.8,6.1,11.1,125.89167022705078,2016
1115,12.0,17.0,6.7,1019.8,75.0,0.0,1.3,7.6,13.0,179.30833435058594,2016
1119,11.7,18.0,6.4,1017.3,76.0,0.0,0.8,4.4,13.0,152.55416870117188,2016
1120,14.6,21.0,6.8,1015.6,81.0,0.0,0.6,2.4,7.6,152.3208465576172,2016
1121,17.7,24.0,9.0,1014.5,69.0,0.0,1.4,4.4,9.4,171.4291534423828,2016
1125,17.4,27.2,12.2,1016.4,79.0,0.0,1.1,7.8,18.3,332.7083435058594,2016
1126,15.9,22.4,8.4,1017.6,66.0,0.0,2.4,7.2,16.5,279.60000610351557,2016
1127,15.2,22.6,6.6,1018.2,56.0,0.0,1.9,8.9,22.2,179.1166534423828,2016
1128,12.7,19.5,8.0,1017.6,69.0,0.0,1.3,8.3,18.3,166.3000030517578,2016
1132,15.6,24.6,10.7,1015.7,81.0,0.0,1.3,2.8,9.4,93.375,2016
1133,17.1,23.2,9.0,1017.1,69.0,0.0,1.8,5.9,11.1,103.0,2016
1134,17.6,24.0,10.1,1014.8,67.0,0.0,1.4,5.9,14.8,211.125,2016
1138,17.2,26.0,11.5,1014.7,65.0,0.0,2.3,5.7,14.8,127.70833587646484,2016
1139,17.7,24.4,9.7,1017.0,64.0,0.0,2.1,8.0,18.3,145.77777099609375,2016
1140,17.4,24.4,10.1,1018.9,61.0,0.0,2.3,6.1,11.1,90.33333587646484,2016
1146,20.9,27.8,15.8,1014.4,62.0,0.0,2.6,17.2,27.8,69.66666412353516,2016
1150,22.6,30.3,11.5,1015.4,57.0,0.0,2.4,5.4,11.1,36.35714340209961,2016
1151,22.7,30.4,12.8,1017.7,56.0,0.0,2.6,2.4,7.6,2.5555555820465092,2016
1152,22.7,30.6,13.0,1018.4,58.0,0.0,2.4,3.3,7.6,2.095238208770752,2016
1155,25.0,31.0,15.0,1015.7,59.0,0.0,1.9,1.7,5.4,112.08333587646484,2016
1156,24.9,32.4,15.2,1015.0,57.0,0.0,1.9,1.7,9.4,105.83333587646484,2016
1157,26.8,33.4,15.7,1014.5,52.0,0.0,2.4,4.6,9.4,117.58333587646484,2016
1161,23.7,29.1,15.8,1011.9,67.0,0.0,2.1,5.2,11.1,147.9583282470703,2016
1162,23.4,29.1,17.0,1011.4,63.0,0.0,2.1,6.7,16.5,111.95833587646484,2016
1163,24.3,29.0,15.6,1011.7,56.0,0.0,1.9,10.0,18.3,59.20833206176758,2016
1167,24.3,31.0,16.8,1010.8,66.0,0.0,3.4,6.9,14.8,73.04762268066406,2016
1169,24.1,29.2,14.5,1014.4,59.0,0.0,2.4,8.5,18.3,123.70833587646484,2016
1173,26.8,33.0,19.0,1008.8,61.0,0.0,2.3,3.5,11.1,77.66666412353516,2016
1174,27.1,33.0,19.0,1009.9,61.0,0.0,2.6,2.8,13.0,52.33333206176758,2016
1175,26.5,32.8,19.5,1010.5,45.0,0.0,2.9,12.2,25.9,52.04166793823242,2016
1179,29.8,36.2,18.2,1012.7,52.0,0.0,2.4,3.3,7.6,46.41666793823242,2016
1180,24.7,36.6,19.7,1012.8,66.0,0.0,2.4,9.4,14.8,33.09090805053711,2016
1181,26.2,32.0,19.5,1012.5,56.0,0.0,3.1,9.1,14.8,36.42856979370117,2016
1185,29.9,37.0,19.5,1008.3,39.0,0.0,2.7,4.4,9.4,81.83333587646484,2016
1186,30.4,37.5,21.6,1006.3,41.0,0.0,2.6,12.0,27.8,105.33333587646484,2016
1187,32.3,39.0,21.5,1007.3,39.0,0.0,3.4,5.4,13.0,117.75,2016
1188,33.4,39.1,24.8,1008.0,47.0,0.0,2.1,2.6,7.6,55.44444274902344,2016
1192,29.5,36.9,21.5,1007.2,41.0,0.0,2.3,11.3,16.5,46.91666793823242,2016
1193,29.3,36.0,18.8,1008.8,37.0,0.0,3.2,4.8,11.1,104.625,2016
1194,30.9,37.0,19.0,1008.9,33.0,0.0,2.6,6.9,14.8,109.625,2016
1198,31.6,38.0,23.2,1002.6,30.0,0.0,3.1,18.7,35.2,147.2857208251953,2016
1199,33.1,39.0,24.0,1003.0,26.0,0.0,2.6,10.4,24.1,49.4000015258789,2016
1200,33.6,40.0,23.0,1003.8,27.0,0.0,2.4,9.8,18.3,75.58333587646484,2016
1205,34.0,40.6,26.3,1005.5,29.0,0.0,2.6,13.9,22.2,94.75,2016
1206,33.9,39.6,25.8,1002.7,28.0,0.0,2.7,15.7,29.4,142.5,2016
1211,33.4,40.0,21.2,1006.3,27.0,0.0,2.6,3.7,14.8,147.8333282470703,2016
1212,33.2,40.3,22.2,1005.1,29.0,0.0,2.3,5.0,14.8,158.2916717529297,2016
1213,34.0,40.7,22.2,1004.6,24.0,0.0,2.4,11.9,22.2,149.5833282470703,2016
1216,34.7,41.5,22.0,1001.7,24.0,0.0,2.3,8.5,16.5,76.25,2016
1217,38.0,44.0,23.8,1001.1,20.0,0.0,2.6,9.6,29.4,101.5,2016
1218,35.4,44.0,28.0,1003.2,35.0,0.0,2.7,6.5,18.3,106.5,2016
1222,33.2,38.0,25.0,1004.6,41.0,0.0,2.7,4.6,9.4,137.16667175292972,2016
1223,35.1,39.2,25.3,1005.1,40.0,0.0,2.4,7.2,11.1,101.95833587646484,2016
1224,33.8,39.8,27.6,1005.5,44.0,0.0,2.4,9.8,16.5,98.41666412353516,2016
1228,37.1,42.0,27.5,1000.7,30.0,0.0,2.9,8.3,18.3,87.25,2016
1229,36.5,43.0,27.0,1001.8,35.0,0.0,2.6,4.1,22.2,107.625,2016
1230,37.3,42.4,27.4,1002.4,32.0,0.0,2.6,4.8,14.8,110.41666412353516,2016
1234,37.3,43.7,28.6,997.4,44.0,0.0,2.6,9.4,22.2,80.3043441772461,2016
1235,37.3,42.8,31.2,996.2,49.0,0.0,2.6,8.3,14.8,72.25,2016
1236,36.2,41.5,30.7,995.3,50.0,0.0,2.9,10.9,18.3,38.66666793823242,2016
1241,34.6,39.0,26.0,998.4,49.0,0.0,2.4,6.7,16.5,74.16666412353516,2016
1242,37.4,41.0,30.6,998.8,31.0,0.0,1.9,14.1,27.8,66.08333587646484,2016
1246,32.7,37.5,24.7,1002.3,55.0,0.0,2.4,7.4,18.3,37.16666793823242,2016
1247,36.0,40.0,26.6,1001.7,46.0,0.0,3.1,9.1,22.2,57.375,2016
1248,37.7,42.0,30.7,1000.9,37.0,0.0,2.6,11.9,22.2,56.29166793823242,2016
1249,37.6,43.0,28.7,1001.2,42.0,0.0,2.4,2.8,11.1,77.0,2016
1253,34.6,40.3,28.7,1001.1,51.0,0.0,2.7,10.2,25.9,93.08333587646484,2016
1254,35.9,41.0,28.6,998.6,50.0,0.0,2.6,8.5,18.3,80.625,2016
1255,35.7,41.2,30.0,997.6,48.0,0.0,2.3,9.3,27.8,90.70833587646484,2016
1261,34.7,38.0,30.5,995.4,55.0,0.0,2.4,10.4,18.3,40.375,2016
1265,35.6,40.0,30.0,1000.7,57.0,0.0,3.1,9.4,25.9,49.58333206176758,2016
1267,32.9,38.6,27.0,999.7,64.0,0.0,2.4,8.9,16.5,54.76922988891602,2016
1271,35.5,39.9,31.2,999.7,60.0,0.0,2.4,9.8,18.3,51.26086807250977,2016
1272,34.9,39.6,29.6,999.6,61.0,0.0,2.4,7.8,14.8,43.66666793823242,2016
1273,34.4,39.4,26.0,998.3,63.0,0.0,2.3,8.0,14.8,29.83333396911621,2016
1278,28.4,36.6,24.4,998.1,82.0,0.0,2.4,5.2,9.4,37.625,2016
1283,33.6,36.7,28.8,996.7,66.0,0.0,5.8,5.9,11.1,38.58333206176758,2016
1285,33.3,37.0,27.8,996.2,68.0,0.0,2.6,6.7,11.1,70.58333587646484,2016
1295,32.4,35.2,26.2,999.0,72.0,0.0,2.9,13.5,25.9,15.416666984558105,2016
1296,34.1,37.0,28.5,998.5,63.0,0.0,3.2,13.0,22.2,41.375,2016
1297,34.1,37.2,29.0,998.4,61.0,0.0,2.6,11.5,22.2,25.54166603088379,2016
1301,31.9,35.0,28.3,1001.3,72.0,0.0,2.1,2.8,9.4,41.83333206176758,2016
1302,30.3,35.0,27.6,1002.6,83.0,5.08,2.3,6.5,16.5,50.33333206176758,2016
1307,29.2,31.0,26.0,1000.0,85.0,0.0,1.8,4.6,13.0,35.5,2016
1310,32.6,36.0,26.2,997.8,66.0,0.0,3.4,5.6,9.4,21.125,2016
1314,33.3,36.0,26.4,999.7,67.0,0.0,3.2,7.8,18.3,35.70833206176758,2016
1315,33.4,36.5,28.6,999.9,66.0,0.0,2.9,9.8,16.5,43.58333206176758,2016
1322,31.3,34.5,27.0,997.6,71.0,0.0,3.2,12.2,22.2,30.66666603088379,2016
1326,31.7,34.0,26.4,999.0,71.0,0.0,2.6,2.0,11.1,34.41666793823242,2016
1327,32.6,36.0,27.6,999.6,70.0,0.0,2.7,10.6,20.6,33.16666793823242,2016
1328,31.2,35.9,26.1,1000.4,71.0,0.0,3.2,8.7,18.3,30.625,2016
1339,27.8,31.0,25.2,1001.3,88.0,62.99,2.4,4.6,7.6,56.08333206176758,2016
1340,30.7,34.0,25.5,1000.1,73.0,6.1,2.6,13.7,22.2,69.70833587646484,2016
1341,30.7,34.0,25.0,1000.5,65.0,0.0,3.4,12.0,27.8,62.375,2016
1345,31.1,35.0,25.0,1003.1,64.0,0.0,3.2,10.4,18.3,46.54166793823242,2016
1346,31.3,35.0,26.0,1004.6,63.0,0.0,3.2,11.5,18.3,43.95833206176758,2016
1351,31.4,36.0,26.7,1006.7,65.0,0.0,3.1,8.3,13.0,35.956520080566406,2016
1357,31.7,37.1,26.0,1003.2,63.0,0.0,2.9,1.7,5.4,65.08333587646484,2016
1358,32.5,37.2,25.3,1003.0,59.0,0.0,3.1,1.7,7.6,61.70833206176758,2016
1359,32.6,37.4,27.0,1005.8,63.0,0.0,2.6,6.3,13.0,63.173912048339844,2016
1363,30.7,34.8,25.6,1004.5,66.0,0.0,2.6,3.3,11.1,60.66666793823242,2016
1365,31.4,35.2,26.0,1005.8,62.0,0.0,3.1,2.0,7.6,82.83333587646484,2016
1369,31.9,36.0,26.5,1007.2,66.0,0.0,2.3,2.4,7.6,145.5833282470703,2016
1370,32.4,36.4,27.5,1007.8,65.0,0.0,3.1,3.5,11.1,126.16666412353516,2016
1375,30.3,35.0,24.7,1007.3,62.0,0.0,2.3,7.6,18.3,174.6666717529297,2016
1376,29.9,35.0,23.0,1006.3,60.0,0.0,2.6,6.7,24.1,245.6666717529297,2016
1377,30.0,36.0,22.5,1004.9,63.0,0.0,2.6,3.0,7.6,261.66665649414057,2016
1381,28.6,35.0,19.8,1008.2,49.0,0.0,3.7,11.5,22.2,207.3333282470703,2016
1382,28.3,35.2,19.0,1009.4,53.0,0.0,3.4,9.1,35.9,149.625,2016
1383,26.8,35.2,17.5,1010.4,57.0,0.0,2.6,5.7,13.0,99.70833587646484,2016
1387,27.6,35.0,17.6,1007.6,53.0,0.0,3.1,5.9,13.0,429.1666564941406,2016
1388,27.7,35.0,18.6,1006.9,52.0,0.0,3.1,7.8,28.7,332.4583435058594,2016
1389,27.3,35.0,19.0,1007.8,55.0,0.0,3.2,7.2,27.8,321.5416564941406,2016
1393,27.2,34.5,19.5,1009.0,58.0,0.0,3.1,11.1,25.9,153.2916717529297,2016
1394,26.4,33.0,18.4,1012.4,60.0,0.0,2.6,4.6,14.8,171.5416717529297,2016
1395,25.4,33.4,16.5,1014.3,62.0,0.0,1.6,5.0,14.8,224.1666717529297,2016
1399,23.7,31.7,15.5,1017.7,69.0,0.0,1.0,1.3,5.4,251.2083282470703,2016
1400,23.4,31.1,14.2,1016.0,60.0,0.0,1.1,3.0,7.6,172.8333282470703,2016
1401,22.6,30.6,15.8,1015.4,69.0,0.0,0.5,1.1,5.4,166.7083282470703,2016
1402,23.9,32.0,14.5,1015.6,63.0,0.0,1.0,2.0,5.4,130.70832824707028,2016
1406,23.2,30.2,14.0,1012.6,55.0,0.0,1.1,7.4,18.3,207.9166717529297,2016
1407,22.5,29.5,15.6,1013.3,56.0,0.0,1.1,11.7,22.2,134.45832824707028,2016
1408,21.7,30.0,12.2,1014.5,52.0,0.0,1.1,6.3,16.5,110.0,2016
1413,22.2,30.2,13.6,1015.6,63.0,0.0,1.6,1.5,3.5,118.91666412353516,2016
1414,20.8,29.3,12.1,1016.7,58.0,0.0,1.8,3.5,9.4,176.375,2016
1415,20.7,28.8,10.6,1017.8,56.0,0.0,1.8,6.1,16.5,185.9583282470703,2016
1419,20.8,29.0,10.5,1013.9,61.0,0.0,1.8,2.6,7.6,239.125,2016
1420,22.0,31.0,10.7,1013.2,56.0,0.0,1.8,2.4,14.8,365.2916564941406,2016
1421,21.4,30.6,10.8,1011.9,54.0,0.0,2.6,7.8,18.3,312.2083435058594,2016
1425,24.2,31.0,16.5,1013.0,36.0,0.0,2.9,13.9,22.2,121.33333587646484,2016
1426,22.7,30.8,13.6,1012.0,38.0,0.0,3.4,11.9,20.6,202.875,2016
1427,21.4,29.6,12.7,1013.7,40.0,0.0,2.6,8.0,20.6,260.16665649414057,2016
1430,19.2,25.9,11.9,1017.0,84.0,0.0,0.8,2.6,9.4,382.7083435058594,2016
1431,18.9,25.8,11.5,1017.9,77.0,0.0,0.6,5.0,13.0,277.70834350585943,2016
1432,19.3,27.0,11.7,1019.6,57.0,0.0,1.8,5.2,11.1,284.1666564941406,2016
1436,17.8,24.8,11.2,1017.0,74.0,0.0,0.6,0.7,7.6,180.7916717529297,2016
1437,15.8,24.3,8.7,1015.8,77.0,0.0,0.8,1.7,7.6,166.9166717529297,2016
1438,18.2,27.0,7.7,1013.7,72.0,0.0,0.6,1.1,7.6,169.0,2016
1442,19.0,27.1,10.5,1015.1,61.0,0.0,1.6,3.3,9.4,210.6875,2016
1443,18.0,26.6,10.5,1017.1,61.0,0.0,1.9,8.0,14.8,108.08333587646484,2016
1461,15.6,23.0,9.0,1016.4,87.0,0.0,1.3,2.4,11.1,284.79583740234375,2017
1462,17.4,24.0,9.3,1018.9,81.0,0.0,1.3,2.2,9.4,239.69546508789062,2017
1463,16.7,24.3,9.5,1018.0,82.0,0.0,1.0,4.1,13.0,182.1875,2017
1468,15.4,20.0,10.2,1015.5,84.0,0.0,1.1,2.2,7.6,200.6458282470703,2017
1469,14.1,20.2,8.6,1015.8,82.0,0.0,1.1,5.0,13.0,154.875,2017
1473,12.1,19.0,4.3,1017.8,70.0,0.0,1.4,6.1,14.8,334.3411865234375,2017
1474,12.6,19.5,3.2,1019.2,78.0,0.0,1.3,5.2,11.1,276.9083251953125,2017
1475,16.4,24.0,8.6,1017.3,73.0,0.0,1.3,3.3,7.6,267.9818115234375,2017
1479,14.0,21.0,6.4,1023.1,76.0,0.0,1.6,10.2,16.5,107.625,2017
1481,14.7,20.8,7.0,1021.4,72.0,0.0,1.0,6.1,14.8,179.30833435058594,2017
1491,17.3,23.2,9.8,1016.0,71.0,0.0,1.4,4.6,16.5,332.7083435058594,2017
1492,16.2,23.4,9.4,1017.9,75.0,0.0,1.3,8.0,16.5,279.60000610351557,2017
1493,17.0,24.0,8.6,1019.2,66.0,0.0,1.6,2.8,7.6,179.1166534423828,2017
1494,17.9,25.0,9.5,1017.3,68.0,0.0,1.6,3.3,11.1,166.3000030517578,2017
1498,16.1,23.5,8.6,1015.9,62.0,0.0,2.9,10.2,18.3,93.375,2017
1499,16.8,24.0,9.0,1015.2,63.0,0.0,1.8,5.7,18.3,103.0,2017
1500,16.7,24.2,9.4,1016.4,66.0,0.0,1.8,10.6,27.8,211.125,2017
1504,18.2,25.0,8.9,1021.9,59.0,0.0,2.3,7.6,18.3,127.70833587646484,2017
1505,18.6,29.0,10.2,1021.3,59.0,0.0,1.8,10.2,18.3,145.77777099609375,2017
1506,19.7,27.0,9.8,1020.3,58.0,0.0,2.4,8.7,32.4,90.33333587646484,2017
1510,24.1,31.0,15.6,1011.1,57.0,0.0,3.1,7.2,14.8,67.125,2017
1511,24.8,32.0,16.4,1005.0,56.0,0.0,2.4,6.3,14.8,46.70833206176758,2017
1512,20.9,32.4,15.7,1008.2,74.0,0.0,1.9,12.0,24.1,69.66666412353516,2017
1516,21.4,28.0,13.5,1013.6,47.0,0.0,3.1,18.5,35.2,36.35714340209961,2017
1517,20.4,28.1,12.4,1012.5,55.0,0.0,2.6,16.1,29.4,2.5555555820465092,2017
1518,21.2,29.0,11.0,1014.2,52.0,0.0,3.2,8.0,16.5,2.095238208770752,2017
1520,24.7,32.5,18.0,1012.1,49.0,0.0,2.6,5.0,11.1,42.16666793823242,2017
1521,22.8,30.5,16.5,1011.1,59.0,0.0,1.9,4.4,11.1,112.08333587646484,2017
1522,21.3,28.5,12.5,1010.6,41.0,0.0,3.1,8.3,22.2,105.83333587646484,2017
1526,23.4,30.0,12.0,1008.3,41.0,0.0,2.6,5.9,14.8,159.0833282470703,2017
1532,18.4,24.0,9.0,1015.3,49.0,0.0,3.2,9.1,20.6,90.04166412353516,2017
1533,19.6,26.0,9.1,1016.4,50.0,0.0,2.7,6.5,22.2,73.04762268066406,2017
1534,21.4,28.0,10.5,1013.7,50.0,0.0,2.4,8.5,22.2,98.70833587646484,2017
1538,23.6,30.0,15.6,1011.7,57.0,0.0,2.6,7.6,18.3,92.21739196777344,2017
1539,24.2,30.0,15.4,1012.2,53.0,0.0,2.7,11.3,24.1,77.66666412353516,2017
1540,26.6,34.0,16.2,1011.6,47.0,0.0,2.9,10.9,22.2,52.33333206176758,2017
1544,27.8,35.0,17.7,1010.4,41.0,0.0,3.4,12.8,27.8,70.0,2017
1545,29.1,35.0,20.8,1009.8,38.0,0.0,3.2,16.1,35.2,46.41666793823242,2017
1546,30.6,37.0,21.8,1009.5,41.0,0.0,3.1,13.1,27.8,33.09090805053711,2017
1550,31.2,38.5,23.3,1007.5,41.0,0.0,2.9,8.3,18.3,89.0,2017
1551,32.8,39.0,23.2,1004.7,36.0,0.0,3.2,11.1,22.2,81.83333587646484,2017
1552,31.7,39.4,23.0,1004.2,34.0,0.0,3.5,10.7,25.9,105.33333587646484,2017
1553,32.8,39.0,21.4,1004.9,30.0,0.0,3.7,10.7,22.2,117.75,2017
1557,28.8,38.0,19.2,1008.0,32.0,0.0,1.9,5.9,18.3,84.5,2017
1558,27.5,34.4,16.5,1010.8,28.0,0.0,2.7,10.0,20.6,46.91666793823242,2017
1559,27.3,33.6,19.0,1010.8,29.0,0.0,3.9,13.3,25.9,104.625,2017
1563,31.6,40.0,19.9,1006.3,27.0,0.0,2.9,5.6,11.1,110.875,2017
1564,32.4,40.5,20.7,1004.5,33.0,0.0,2.3,2.6,9.4,147.2857208251953,2017
1565,33.0,40.6,22.0,1002.1,29.0,0.0,3.2,8.5,24.1,49.4000015258789,2017
1571,34.9,43.2,28.9,999.7,45.0,0.0,2.7,9.1,21.7,94.75,2017
1572,33.5,40.2,28.5,1001.9,49.0,0.0,2.3,8.5,22.2,142.5,2017
1573,33.9,40.0,26.8,1001.9,31.0,0.0,3.2,11.1,22.2,133.375,2017
1577,32.6,38.2,22.5,1006.3,33.0,0.0,2.7,11.9,51.9,147.8333282470703,2017
1578,32.2,38.5,24.0,1004.8,37.0,0.0,2.9,13.3,39.6,158.2916717529297,2017
1579,32.1,39.0,24.0,1005.4,40.0,0.0,3.1,5.9,20.6,149.5833282470703,2017
1581,32.2,38.1,23.1,1007.2,35.0,0.0,3.7,5.7,13.0,96.25,2017
1582,32.3,39.6,22.0,1006.8,37.0,0.0,3.2,4.4,13.0,76.25,2017
1587,36.6,44.0,25.3,1003.7,27.0,0.0,3.4,8.0,18.3,125.625,2017
1588,36.6,44.1,27.6,1002.7,30.0,0.0,2.6,3.5,9.4,137.16667175292972,2017
1589,35.6,42.8,28.0,1001.5,36.0,0.0,3.2,10.7,20.6,101.95833587646484,2017
1593,36.0,41.8,27.5,1002.0,35.0,0.0,2.7,6.7,18.3,89.54166412353516,2017
1594,37.2,43.0,27.8,999.8,28.0,0.0,3.1,6.7,14.8,87.25,2017
1595,37.9,44.0,28.1,998.3,24.0,0.0,3.2,10.2,22.2,107.625,2017
1600,34.0,41.4,28.4,1000.0,38.0,0.0,3.4,5.4,22.2,80.3043441772461,2017
1605,36.4,41.6,28.5,999.1,36.0,0.0,3.4,4.3,11.1,67.08333587646484,2017
1606,37.8,44.0,29.0,997.3,33.0,0.0,3.1,8.3,22.2,80.04166412353516,2017
1607,35.3,43.9,29.3,998.0,46.0,0.0,3.9,13.3,18.3,74.16666412353516,2017
1612,32.9,37.0,24.9,1000.7,52.0,0.0,2.4,5.0,14.8,37.16666793823242,2017
